,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness
2235,5Es2CASRIhHRybTR95siei,6WtrY6QGqSHWgJMRVn6lAk,Chris Cobbins,25,1420,,2.46e-05,224681,4,0.153,0.0385,0.598,-5.91,93.965,1,0.624,0.764,0.0859
2236,4SbXb1TwZAUOJtPlmREyul,04KFLLwVbRtP0FPdsGzR3H,Keion D. Henderson,21,239,,0.0,290427,3,0.00376,0.0425,0.685,-8.51,109.825,8,0.304,0.469,0.0907
2237,6BL4CNLbBcxMNnNVILaw55,2KBcqZsPHSmTNVHrW5zkTE,Joshua Rogers,30,8171,,0.0,258030,4,0.061,0.158,0.813,-6.879,154.086,7,0.8,0.443,0.251
2238,1QXhzptk3KMnO8xewGePhu,4akybxRTGHJZ1DXjLhJ1qu,Kirk Franklin,65,447642,gospel,0.0,340200,4,0.122,0.112,0.878,-5.829,84.148,8,0.704,0.605,0.237
2239,6sX8nB5PoeXEXjQGKvHR1N,74IEeKcuS34kF2TjOigXra,Donnie McClurkin,50,160734,gospel,0.0,320093,4,0.0958,0.0396,0.781,-4.949,129.993,10,0.701,0.672,0.963
2240,0RNPiXc8aLrCbuivYlouzd,4x3CdMQ3YjnPn4Evhyni5y,Kierra Sheard,52,112669,gospel,0.0,547000,4,0.27,0.0462,0.468,-8.684,105.77,0,0.201,0.372,0.279
2241,25rVj3vBLwE6Fo8C8NFSwb,2ePc8jGwsMZtgQemYDJLY7,Vicki Yohe,39,26433,gospel,0.0,318560,3,0.526,0.0399,0.484,-6.121,197.685,7,0.143,0.26,0.103
2242,7ek6p3oOf0B4HM1A0fiVJO,1I7iiuI5AMSMCwKp8dOCXY,The New Life Community Choir,42,12406,"gospel,praise",0.0,326493,4,0.394,0.0623,0.798,-6.891,85.891,6,0.392,0.506,0.603
2243,7oPr7tHtMifbFJrkoXe8aO,5ItTHwcEtFh6DEOBheMub9,Jonathan McReynolds,55,70654,gospel,0.0,249177,4,0.525,0.0464,0.228,-11.783,82.389,9,0.315,0.354,0.706
2244,0cZAIIbDleBvlEXfpYJfVU,1xy9x7h2jKEg8iG22Sml32,Tye Tribbett,54,149921,"gospel,praise",1.21e-06,211885,4,0.122,0.115,0.513,-7.534,119.876,7,0.197,0.614,0.0502
2245,1VB3lMBTurh6z4DcKvINYL,0sD8Amms4kSxs5tBV4CUmR,Smokie Norful,48,115440,gospel,0.0,243453,4,0.0117,0.0688,0.883,-5.9,122.075,1,0.598,0.645,0.38
2246,1HXzXYbhLDdpFkJyBxEjIF,74IEeKcuS34kF2TjOigXra,Donnie McClurkin,50,160734,gospel,0.0,293560,4,0.161,0.0328,0.571,-4.96,88.749,5,0.323,0.507,0.142
2247,7euxCHA7OHB8L4dgvhgpKY,6PTGRlwNbg36Mu4boWlixN,William McDowell,54,114159,gospel,0.0,287080,4,0.0698,0.0923,0.905,-5.641,126.931,3,0.52,0.599,0.351
2248,0PAidbgBw2xovbTTrSXfy2,3WVgChZY3rEyeHd3aljzNl,John P. Kee,47,79789,gospel,0.0,292467,4,0.0932,0.221,0.81,-6.039,206.125,1,0.857,0.51,0.481
2249,4qO2k0Q82nLpluVLwGJJNc,55ahFTOpj1ZVL4upoNwOqm,Melvin Williams,28,7724,praise,0.0,253293,4,0.178,0.133,0.827,-5.847,107.938,8,0.796,0.792,0.973
2250,3FaNt2AIvfkVdgawgEyY2B,1xy9x7h2jKEg8iG22Sml32,Tye Tribbett,54,149921,"gospel,praise",3.88e-06,245147,4,0.036,0.172,0.79,-5.413,159.869,3,0.68,0.608,0.0566
