,label,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness,track_name
1828,0,01k5RGYLH8p8W0dq6n2Ohm,17Uy6pW5zaTnXtr3ekOlrW,Kendall Windham,0.05,9.760881960916428e-07,,0.0,0.061543290262712595,0.75,0.283,0.0312,0.421,0.8093294019807968,0.7767392515184469,0.6363636363636364,0.328,0.317,0.11,In Ruins
1829,0,2uFxEoD19haHsZvgTLVtBS,6W2lyFO79SNpk3ZpF0A2s9,Jet Trouble,0.35000000000000003,7.101636802296026e-05,"christian hip hop,christian trap",0.0,0.041953194537431786,0.75,0.561,0.355,0.367,0.8560331140848264,0.28373338991592184,0.4545454545454546,0.56,0.606,0.0658,Only One
1830,0,1ZHOREB6ew670daqMQ75F0,6yuXGldP2yeZ8GFNrZdlSC,Ecclesia,0.42,0.00010882193034963169,"anthem worship,christian pop",3.42e-06,0.06357799555071837,0.75,0.485,0.0419,0.685,0.8563733272850986,0.4163965732169854,0.36363636363636365,0.578,0.713,0.188,Unshackled
1831,0,7FX5h0FMJpabBfFpjU13EL,3vRb674AVPkK8JW6LwY3zV,Britt Rion,0.08,2.642580238199326e-06,,0.0054,0.0604217794230193,0.75,0.513,0.0428,0.609,0.8133552581840174,0.5014348990796489,0.36363636363636365,0.197,0.565,0.0919,Hide
1832,0,7zKwxOBUxFycjfq0GbYbOw,3IUGN5NE9KUwcbbbb057vZ,Westover,0.32,4.6852233412398857e-05,nashville indie,0.151,0.05412438605149091,0.75,0.0873,0.231,0.547,0.8356203220684961,0.6825663740285919,0.18181818181818182,0.227,0.644,0.11,Teeth
1833,0,17Bvr48WWPVjZsiCVYIPU6,11cVIlWcbl4NaDtqlrVCaM,bailey,0.27,2.464027519402074e-05,alternative ccm,0.0,0.05140652553880979,0.75,0.672,0.0524,0.471,0.8001814470401452,0.575004641540461,0.0,0.209,0.616,0.0843,Life & Love
1834,0,4T4kMzBWiIRFWtMA110HRU,6pLDSW3de0uRB6cP30krKv,Joshua Micah,0.39,0.0002481882791281799,christian pop,2.71e-05,0.053840039747213075,0.75,0.00128,0.0324,0.926,0.9275345883420276,0.6073840277961966,1.0,0.962,0.634,0.105,Uh Huh
1835,0,6Od2MDAKqSetopJpMGUHuF,2QCtK2hdxxcU1BU5Npa8Zu,Dominic Balli,0.37,0.0006227442691064682,adoracao,0.0,0.06616746855480783,0.75,0.36,0.125,0.655,0.8723633476978906,0.38453173487520886,0.6363636363636364,0.53,0.547,0.126,Buck the System
1836,0,5xZwcCpOYDnlPlPrnIbGJl,0mtoQdfz98LA9tS7ju33uR,Foreign Figures,0.38,0.0002170486849699392,utah indie,0.0,0.054548538276187435,0.75,0.0866,0.0275,0.776,0.9217698646707492,0.5757472880142164,0.18181818181818182,0.562,0.562,0.163,REIGN
1837,0,4F7GcPH79KzsQfNphjtkGx,6g10GEtmIVqIQBhPZh4ScQ,Zach Williams,0.58,0.0014037338611256472,ccm,0.0,0.044741515006021124,0.75,0.125,0.0347,0.814,0.8786005897028804,0.38451051640453016,0.0,0.607,0.675,0.163,Old Church Choir
